V_I,ID,Mode,RA,DECL,ID_OGLE_II,ID_OGLE_III,ID_OGLE_IV,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
2.408,OGLE-BLG-CEP-085,1,17.888028,-22.322417,-99.99,-99.99,BLG642.16.28892,-99.99,16.291,18.699,1.3953955,4.1e-06,2460000.0505,0.322,0.22,4.403,0.08,2.802,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.747,OGLE-BLG-CEP-086,1,17.904592,-21.369722,-99.99,-99.99,BLG641.06.89908,-99.99,16.263,19.01,2.2584649,4.4e-06,2460001.8876,0.288,0.116,4.58,0.017,4.398,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
3.565,OGLE-BLG-CEP-087,1,17.908203,-23.036194,-99.99,-99.99,BLG643.31.57400,-99.99,16.391,19.956,2.2217498,1.21e-05,2460000.6307,0.223,0.139,4.656,0.035,2.546,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.398,OGLE-BLG-CEP-088,1,17.908858,-21.084306,-99.99,-99.99,BLG641.14.22396,-99.99,15.969,18.367,2.1050223,3.2e-06,2460001.3095,0.216,0.087,4.802,0.021,4.733,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-089,F,17.938028,-23.492917,-99.99,-99.99,BLG643.12.16687,-99.99,17.393,-99.99,7.6668862,0.0001582,2460002.0977,0.327,0.285,5.628,0.155,3.973,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-090,F,17.945842,-20.376778,-99.99,-99.99,BLG641.28.47365,-99.99,16.047,-99.99,2.4796349,2.6e-06,2460001.6091,0.78,0.535,4.316,0.366,2.586,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-091,F,17.953492,-26.838806,-99.99,-99.99,BLG645.12.57186,-99.99,18.019,-99.99,19.4395236,0.000412,2460003.745,0.488,0.2,4.645,0.132,2.006,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-092,F,17.953733,-26.153167,-99.99,-99.99,BLG645.29.29018,-99.99,18.251,-99.99,6.8130756,7.3e-05,2460004.6343,0.35,0.361,5.134,0.134,3.085,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-093,F,17.955261,-23.035278,-99.99,-99.99,BLG643.27.35637,-99.99,18.318,-99.99,3.7335299,3.68e-05,2460000.0688,0.398,0.367,4.546,0.141,2.872,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.46,OGLE-BLG-CEP-094,12,17.967786,-27.704528,-99.99,BLG223.7.155193,BLG504.20.193625,-99.99,17.326,19.786,0.3678112,3e-07,2460000.0032,0.093,0.176,2.955,0.065,0.586,0.293823,5e-07,2460000.2382,0.014,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-096,F,17.978514,-21.253306,-99.99,-99.99,BLG641.08.3198,-99.99,19.43,-99.99,2.0451091,1.04e-05,2460001.7928,0.658,0.575,4.2,0.43,2.687,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.508,OGLE-BLG-CEP-097,1,18.189906,-25.325889,-99.99,BLG258.3.9149,BLG580.17.20558,-99.99,17.337,19.845,0.4928012,1.7e-06,2460000.44,0.131,0.119,2.553,0.08,4.051,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,variable period
1.039,OGLE-BLG-CEP-098,F1,18.225317,-31.824111,-99.99,-99.99,BLG546.31.24020,-99.99,16.051,17.09,0.6706528,1.8e-06,2460000.5165,0.09,0.0,-99.99,0.063,1.316,0.4937302,5e-07,2460000.4384,0.218,0.065,2.318,0.14,6.185,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
2.007,OGLE-BLG-CEP-099,F,18.271297,-23.305889,-99.99,BLG279.4.66794,BLG527.16.55883,-99.99,14.294,16.301,12.2747748,2.27e-05,2460010.8548,0.673,0.126,4.564,0.126,1.26,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
1.111,OGLE-BLG-CEP-100,12,18.306703,-24.756,-99.99,BLG267.7.85812,BLG528.05.111204,-99.99,15.803,16.914,0.2408082,2e-07,2460000.17,0.152,0.17,3.781,0.028,1.598,0.1920216,5e-07,2460000.025,0.012,0.0,-99.99,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-101,1,17.062558,-37.849056,-99.99,-99.99,BLG994.15.22280,-99.99,14.889,-99.99,2.6911802,1.05e-05,2460002.604,0.202,0.112,4.954,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-102,1,17.144747,-34.226583,-99.99,-99.99,BLG909.14.502,-99.99,14.987,-99.99,1.1002527,1.6e-06,2460000.5312,0.276,0.169,3.536,0.055,0.935,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-103,F,17.206972,-39.446528,-99.99,-99.99,BLG990.21.49247,-99.99,16.397,-99.99,12.1989394,0.0009957,2460002.874,0.576,0.095,4.315,0.144,0.867,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-104,F1,17.208025,-38.880444,-99.99,-99.99,BLG989.04.20854,-99.99,13.791,-99.99,3.677442,9.71e-05,2460000.0522,0.279,0.247,4.445,0.083,2.625,2.5418732,0.000181,2460000.4306,0.077,0.084,4.332,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-105,F,17.261419,-38.861333,-99.99,-99.99,BLG925.25.29784,-99.99,18.016,-99.99,14.3901374,0.0051107,2460008.7895,0.783,0.271,4.968,0.09,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-106,F,17.265614,-39.316139,-99.99,-99.99,BLG925.16.1866,-99.99,17.696,-99.99,3.8797267,0.0003305,2460002.4337,0.408,0.387,4.344,0.19,2.75,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-107,1,17.270708,-33.150528,-99.99,-99.99,BLG918.21.39578,-99.99,14.986,-99.99,5.6753405,0.0001096,2460003.6243,0.169,0.086,4.752,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-108,F,17.295942,-38.34325,-99.99,-99.99,BLG924.06.3500,-99.99,18.013,-99.99,10.1915711,0.003757,2460002.0718,0.546,0.0,-99.99,0.125,0.293,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,uncertain
-99.99,OGLE-BLG-CEP-110,F,17.313175,-38.291444,-99.99,-99.99,BLG924.04.20780,-99.99,11.541,-99.99,23.2967459,0.001091,2460004.206,0.616,0.275,4.591,0.158,2.344,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-111,F,17.337642,-37.767806,-99.99,-99.99,BLG924.19.35,-99.99,12.588,-99.99,15.0697618,0.0005315,2460000.5865,0.623,0.185,4.474,0.126,1.62,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-112,F,17.351853,-37.292028,-99.99,-99.99,BLG924.26.4560,-99.99,13.274,-99.99,7.3351299,0.0002072,2460006.3247,0.469,0.285,5.199,0.143,3.17,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-113,F,17.356528,-35.828528,-99.99,-99.99,BLG979.05.39,-99.99,14.035,-99.99,6.9544933,0.0002279,2460004.4066,0.459,0.294,5.03,0.115,2.827,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-115,F,17.391981,-38.976639,-99.99,-99.99,BLG929.07.386,-99.99,14.981,-99.99,9.1850029,0.000513,2460008.6352,0.415,0.173,5.18,0.104,4.289,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-116,F,17.401867,-31.632722,-99.99,-99.99,BLG920.04.1373,-99.99,17.233,-99.99,5.3463479,3.21e-05,2460004.4429,0.568,0.428,5.115,0.215,3.214,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-118,1,17.457356,-37.575333,-99.99,-99.99,BLG928.03.22175,-99.99,14.86,-99.99,2.9685062,0.0001544,2460001.3636,0.099,0.134,3.676,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-119,1,17.469564,-36.292778,-99.99,-99.99,BLG975.11.73,-99.99,15.002,-99.99,2.1378739,6.73e-05,2460001.8005,0.221,0.117,5.021,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,uncertain
-99.99,OGLE-BLG-CEP-120,F,17.478344,-36.239028,-99.99,-99.99,BLG975.10.454,-99.99,17.07,-99.99,7.9724085,0.00112,2460000.7312,0.392,0.223,5.288,0.135,3.223,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-121,F,17.499769,-34.165306,-99.99,-99.99,BLG974.26.12173,-99.99,19.296,-99.99,31.6254935,0.0709711,2460010.6221,0.888,0.323,4.9,0.236,3.068,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-122,F,17.508819,-33.878694,-99.99,-99.99,BLG973.01.10737,-99.99,14.731,-99.99,12.8113364,0.0005861,2460001.2951,0.552,0.115,4.085,0.127,0.896,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-123,F,17.557342,-32.488917,-99.99,-99.99,BLG669.30.55,-99.99,14.014,-99.99,13.6804203,0.0008554,2460006.1945,0.746,0.234,4.779,0.128,2.331,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-124,F,17.566817,-33.209806,-99.99,-99.99,BLG669.12.4,-99.99,11.052,-99.99,12.1069568,0.0009309,2460010.4253,0.636,0.153,4.527,0.11,1.319,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-125,F,17.601169,-32.337139,-99.99,-99.99,BLG669.27.13585,-99.99,12.059,-99.99,14.2554358,0.00037,2460002.884,0.723,0.231,4.665,0.136,2.103,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-126,1,17.620272,-32.190722,-99.99,-99.99,BLG679.25.4,-99.99,11.476,-99.99,5.9417173,0.0003838,2460001.8261,0.167,0.161,4.368,0.049,2.398,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-127,F,17.654239,-32.426694,-99.99,-99.99,BLG679.13.22101,-99.99,16.774,-99.99,5.5188369,0.0001487,2460004.8988,0.678,0.325,5.027,0.151,3.449,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-128,F,17.662133,-31.745528,-99.99,-99.99,BLG679.30.6244,-99.99,16.046,-99.99,45.6403848,0.0204348,2460028.4445,0.656,0.361,4.859,0.194,3.336,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-129,F,17.924006,-19.930028,-99.99,-99.99,BLG640.12.1642,-99.99,16.116,-99.99,3.7215013,1.24e-05,2460000.1796,0.488,0.43,4.784,0.224,3.239,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-130,F,17.96605,-19.42025,-99.99,-99.99,BLG640.26.1023,-99.99,16.981,-99.99,3.3259257,1.4e-05,2460001.6693,0.74,0.516,4.51,0.322,2.778,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-131,F,17.979269,-24.840472,-99.99,-99.99,BLG713.02.2593,-99.99,17.919,-99.99,10.2138005,0.0044557,2460000.0509,0.592,0.15,5.004,0.096,1.195,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-132,F,17.990231,-19.317917,-99.99,-99.99,BLG846.14.1795,-99.99,17.509,-99.99,2.1471796,0.000109,2460000.6911,0.561,0.512,4.423,0.317,2.728,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-133,F,18.008606,-12.363056,-99.99,-99.99,BLG840.05.945,-99.99,17.398,-99.99,7.3881862,0.0027905,2460000.0752,0.298,0.334,5.01,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-134,F,18.019522,-22.117028,-99.99,-99.99,BLG761.32.108,-99.99,14.319,-99.99,6.2995341,0.0003458,2460000.0967,0.386,0.283,4.772,0.07,2.885,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-135,1,18.029847,-24.052111,-99.99,-99.99,BLG716.06.10685,-99.99,13.74,-99.99,5.9670903,0.000573,2460002.9631,0.128,0.134,4.457,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-136,F,18.048103,-23.302778,-99.99,-99.99,BLG716.29.1906,-99.99,18.107,-99.99,12.9563587,0.0082373,2460000.3689,0.775,0.142,4.833,0.109,2.079,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-137,1,18.070125,-22.803611,-99.99,-99.99,BLG761.03.12748,-99.99,14.28,-99.99,4.7994885,0.0003876,2460000.1576,0.178,0.088,3.733,0.027,0.253,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-138,F,18.070611,-20.428028,-99.99,-99.99,BLG999.03.21389,-99.99,16.264,-99.99,19.7988478,0.0070521,2460004.6813,0.436,0.288,4.523,0.142,2.83,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-139,F,18.075656,-21.749611,-99.99,-99.99,BLG760.02.246,-99.99,15.558,-99.99,14.5497275,0.0013295,2460005.2453,0.732,0.24,4.601,0.157,2.225,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-140,F,18.120664,-18.987028,-99.99,-99.99,BLG762.31.21,-99.99,12.714,-99.99,12.7743744,0.0001976,2460003.4123,0.555,0.108,3.985,0.134,0.915,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-141,1,18.121153,-12.372139,-99.99,-99.99,BLG847.19.456,-99.99,16.761,-99.99,1.1016201,3.04e-05,2460001.0578,0.28,0.25,4.05,0.108,2.633,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-143,F,18.133867,-18.930972,-99.99,-99.99,BLG762.30.10837,-99.99,17.582,-99.99,7.2013231,0.0004015,2460005.0274,0.389,0.329,4.788,0.118,3.392,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-144,F,18.149681,-16.22175,-99.99,-99.99,BLG767.04.316,-99.99,15.27,-99.99,15.8860601,0.000366,2460004.066,0.669,0.199,4.975,0.145,2.222,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-145,F,18.204303,-14.919111,-99.99,-99.99,BLG772.24.47309,-99.99,16.221,-99.99,2.6288044,1.64e-05,2460001.009,0.51,0.478,4.428,0.259,2.726,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-146,F,18.218067,-13.513083,-99.99,-99.99,BLG771.31.627,-99.99,17.559,-99.99,3.2863102,4.17e-05,2460000.8536,0.674,0.484,4.357,0.247,2.08,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-147,F1,18.222144,-16.555389,-99.99,-99.99,BLG773.13.133,-99.99,14.166,-99.99,7.5324579,0.0001573,2460005.8903,0.247,0.15,5.023,0.0,-99.99,5.1649825,0.0001362,2460003.7911,0.142,0.123,4.262,0.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-148,F,18.249925,-13.606556,-99.99,-99.99,BLG771.20.8831,-99.99,16.216,-99.99,3.9272103,6.04e-05,2460003.3794,0.442,0.349,4.538,0.165,3.004,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-149,F,18.251531,-17.551611,-99.99,-99.99,BLG774.19.2,-99.99,11.007,-99.99,12.51812,0.0002665,2460012.3012,0.569,0.108,4.521,0.129,1.111,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-150,1,18.255381,-16.309556,-99.99,-99.99,BLG773.19.3,-99.99,11.551,-99.99,7.1804674,0.0001342,2460002.3887,0.187,0.169,4.893,0.044,3.683,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-151,F,18.264919,-12.050833,-99.99,-99.99,BLG770.26.8598,-99.99,17.477,-99.99,4.0969883,0.0001386,2460001.6871,0.483,0.398,4.603,0.169,3.158,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-152,F1,18.278025,-10.9615,-99.99,-99.99,BLG776.16.119,-99.99,14.626,-99.99,8.5281853,0.0002525,2460007.3166,0.332,0.182,5.003,0.08,3.236,5.9109382,0.0003006,2460001.0721,0.146,0.172,5.331,0.063,5.105,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-153,F,18.279319,-12.886722,-99.99,-99.99,BLG770.08.282,-99.99,16.981,-99.99,16.6908545,0.000964,2460006.1316,0.515,0.154,5.071,0.142,2.114,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-154,F,18.281842,-10.542389,-99.99,-99.99,BLG776.25.15677,-99.99,16.387,-99.99,2.8128528,3.86e-05,2460002.2279,0.6,0.455,4.399,0.244,2.57,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-155,F,18.285886,-17.410722,-99.99,-99.99,BLG781.07.10156,-99.99,15.329,-99.99,8.2672169,0.0003494,2460007.831,0.395,0.261,5.388,0.136,3.832,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-156,F,18.289039,-15.544972,-99.99,-99.99,BLG780.24.25321,-99.99,11.612,-99.99,10.2347881,0.0001111,2460001.6667,0.547,0.029,5.439,0.097,0.355,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-157,F,18.325706,-14.024556,-99.99,-99.99,BLG779.28.80,-99.99,13.785,-99.99,21.6322811,0.0008658,2460007.2258,0.626,0.246,4.719,0.147,2.32,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-158,F,18.356325,-13.812944,-99.99,-99.99,BLG778.01.444,-99.99,16.818,-99.99,19.7554785,0.0009212,2460016.143,0.77,0.284,4.622,0.154,2.633,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-159,F,18.373253,-11.545972,-99.99,-99.99,BLG786.15.24563,-99.99,16.605,-99.99,6.3735554,0.0001829,2460000.7392,0.381,0.358,4.931,0.124,3.635,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-160,F,18.377503,-10.586083,-99.99,-99.99,BLG785.07.10513,-99.99,17.281,-99.99,5.973063,0.0003636,2460005.9629,0.52,0.366,4.866,0.147,3.109,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-161,F,18.381547,-11.153,-99.99,-99.99,BLG786.23.23038,-99.99,17.25,-99.99,3.5464146,3.8e-05,2460001.4952,0.577,0.433,4.533,0.283,2.865,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
-99.99,OGLE-BLG-CEP-162,F,18.416564,-10.322806,-99.99,-99.99,BLG785.11.23685,-99.99,17.374,-99.99,14.5920153,0.000345,2460009.262,0.768,0.285,5.195,0.174,2.567,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
